srcFormName,srcFieldName,dstFieldNames,DMN_name,expression
Заявка на технологическое присоединение,DULtype,"{'empty', 'securityDataProvider', 'id'}",,empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id
Заявка на технологическое присоединение,DULtype,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,ScanActTU,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,ACCOSessionId,{'false'},,false
Заявка на технологическое присоединение,p_IndividualInputSwitching,"{'Code', 'fields', 'true'}",,fields['p_TypeTP'].Code eq '32880' and fields['UninhabitedTP'] eq true
Заявка на технологическое присоединение,p_IndividualInputSwitching,"{'Code', 'fields', 'true'}",,fields['p_TypeTP'].Code eq '32880' and fields['UninhabitedTP'] eq true
Заявка на технологическое присоединение,BoroughaddrFact,"{'места', 'ApplicantType'}",,fields.ApplicantType.value.fields.Code eq 'UL' ? 'Фактический адрес' : 'Адрес места жительства'
Заявка на технологическое присоединение,BoroughaddrFact,{'true'},,true
Заявка на технологическое присоединение,BoroughaddrFact,"{'BoroughaddrFact', 'empty', 'CityaddrFact'}",,empty fields.BoroughaddrFact and empty fields.CityaddrFact
Заявка на технологическое присоединение,BoroughaddrFact,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,p_CapacitySort2,"{'empty', 'p_TypeOfLoad', 'fields', 'p_CapacitySort', 'Code', 'ApplicantType'}",,(fields['p_TypeTP'].Code eq '32880' and empty fields.p_CapacitySort) and ((fields.ApplicantType.value.fields.Code eq 'IP' or fields.ApplicantType.value.fields.Code eq 'UL') or (fields.ApplicantType.value.fields.Code eq 'FL' and fields.p_TypeOfLoad.value.fields.Code ne '56997'))
Заявка на технологическое присоединение,p_CapacitySort2,"{'Code', 'fields', 'ApplicantType'}",, (fields.ApplicantType.value.fields.Code eq 'IP' or fields.ApplicantType.value.fields.Code eq 'UL') and fields['p_TypeTP'].Code eq '32880'
Заявка на технологическое присоединение,p_CapacitySort2,"{'empty', 'p_CapacitySort2', 'securityDataProvider', 'fields', 'p_CapacitySort', 'null', 'Code', 'ApplicantType'}",,(!empty fields.p_CapacitySort2 or !empty fields.p_CapacitySort or !securityDataProvider.hasRole('tehprisEE_User') or securityDataProvider.hasRole('admin')) ? fields.p_CapacitySort2 : (fields['p_TypeTP'].Code eq '32896' ? fields['p_CapacitySort2'] : ((fields.ApplicantType.value.fields.Code eq 'IP' or fields.ApplicantType.value.fields.Code eq 'UL') and fields['p_TypeTP'].Code eq '32880' ? fields['p_CapacitySort2'] : null))
Заявка на технологическое присоединение,typeOpfGP,"{'isSimpleTPScheme', 'ApplicantType', 'true'}",,fields.isSimpleTPScheme eq true and fields.ApplicantType.Code eq 'FL'
Заявка на технологическое присоединение,typeOpfGP,"{'empty', 'securityDataProvider', 'typeOpfGP', 'view'}",,!empty fields.typeOpfGP and securityDataProvider.hasRole('tehprisEE_GpWorkP') or view.viewId.contains('portal.xhtml') or securityDataProvider.hasRole('tehprisEE_ZayavkaTP')
Заявка на технологическое присоединение,ElectroCompany,"{'ORGNotFound', 'true'}",,fields.ORGNotFound eq true
Заявка на технологическое присоединение,ElectroCompany,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32880' or fields['p_TypeTP'].Code eq '32896'
Заявка на технологическое присоединение,p_ApplicantCategories,"{'empty', 'securityDataProvider'}",,empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,IndexaddrReg,"{'места', 'ApplicantType'}",,fields.ApplicantType.value.fields.Code eq 'UL' ? 'Юридический адрес' : 'Адрес места регистрации'
Заявка на технологическое присоединение,IndexaddrReg,{'true'},,true
Заявка на технологическое присоединение,IndexaddrReg,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,AssoInvalidDataContainer,{'false'},,false
Заявка на технологическое присоединение,earlierTPDocs,"{'securityDataProvider', 'contains', 'p_ReasonTP', 'view'}",,"['956','957'].contains(fields.p_ReasonTP.Code) and (view.viewId.contains('portal.xhtml') or (securityDataProvider.hasRole('tehprisEE_portalUserRegistrator')))"
Заявка на технологическое присоединение,Regionaddr,{'securityDataProvider'},,!(securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or securityDataProvider.hasRole('tehprisEE_ZayavkaTP'))
